slope,aspect,elevation,ndvi,humidity,label
2.3222775,312.34546,896.0,0.35184088,67.06067,1
1.0933149,305.6728,930.0,0.2992989,67.06067,1
5.6083794,351.52664,906.0,0.39754158,67.06067,1
7.027521,353.25916,901.0,0.4225611,67.06067,1
0.7911096,63.92041,906.0,0.31566986,67.06067,1
6.539096,336.62665,971.0,0.41718572,67.06067,1
5.9856424,342.80008,890.0,0.35652146,67.06067,1
4.847219,348.04272,913.0,0.4034684,67.06067,1
3.334204,351.84106,907.0,0.39537448,67.06067,1
5.6826506,333.47433,926.0,0.37466154,68.05774,1
3.310735,337.96463,961.0,0.3965195,67.06067,1
3.0240767,34.563637,947.0,0.40650153,67.06067,1
1.5779794,48.618057,932.0,0.39498484,67.06067,1
1.7827072,221.61293,971.0,0.36449564,68.05774,1
4.259308,167.98618,943.0,0.38516933,67.06067,1
2.6558409,156.35725,956.0,0.39262986,67.06067,1
3.7125323,116.883484,925.0,0.37954026,67.06067,1
9.823209,332.64395,1049.0,0.67215556,71.07292,1
15.029413,323.37982,1103.0,0.66845614,71.07292,1
18.93014,318.02127,1204.0,0.66768706,71.07292,1
16.232702,342.86798,1325.0,0.6380806,71.07292,1
13.693549,352.93573,1062.0,0.61137974,72.92775,1
15.879004,354.78973,1057.0,0.663993,71.07292,1
15.333074,336.2197,1087.0,0.6585346,71.07292,1
16.647182,338.51218,1164.0,0.64939696,71.07292,1
19.053846,340.6047,1193.0,0.71303225,71.07292,1
16.437574,335.80948,1275.0,0.6909282,71.07292,1
13.383,320.32584,1310.0,0.6759999,71.07292,1
4.6459165,320.5241,1422.0,0.6080437,71.07292,1
10.498762,47.3921,1360.0,0.61059797,71.07292,1
16.629248,61.909855,1290.0,0.59622693,71.07292,1
5.1998763,81.0459,950.0,0.46841282,71.07292,1
2.1925042,93.02965,927.0,0.45795724,71.07292,1
1.9530267,140.4809,913.0,0.4353749,71.07292,1
10.364831,269.36612,1224.0,0.618161,72.92775,1
5.5848575,342.15524,1272.0,0.6240047,71.07292,1
5.1492257,340.57806,1253.0,0.6352677,71.07292,1
8.2024975,302.23737,1301.0,0.72013956,71.07292,1
8.531317,332.0705,1371.0,0.6123015,71.07292,1
1.5206116,326.97983,1369.0,0.63409555,71.07292,1
2.2904944,207.70988,1385.0,0.61067367,71.07292,1
9.207332,189.53995,1387.0,0.60746443,71.07292,1
6.5163665,111.29397,1411.0,0.6405535,71.07292,1
14.340406,96.133965,1284.0,0.6081811,71.07292,1
15.344187,47.565975,1092.0,0.5494232,71.07292,1
12.453513,47.66679,969.0,0.5780682,71.07292,1
3.4719698,69.5012,934.0,0.49793935,71.07292,1
2.2016277,96.04255,914.0,0.49672872,71.07292,1
1.7425342,3.8950071,891.0,0.6538488,71.07292,1
16.060825,203.47687,1149.0,0.64669144,71.07292,1
12.92926,204.17833,1171.0,0.65835327,71.07292,1
14.573209,217.45033,1240.0,0.6582747,71.07292,1
9.985564,199.54247,1324.0,0.6358393,71.07292,1
10.919429,164.78539,1297.0,0.6793156,71.07292,1
9.338143,168.03264,1275.0,0.68556184,71.07292,1
9.653038,195.50302,1264.0,0.68660474,71.07292,1
12.216762,179.72658,1319.0,0.64547104,71.07292,1
5.811721,154.76295,1263.0,0.65739304,71.07292,1
8.47767,27.227264,1277.0,0.63872904,71.07292,1
11.255565,69.15365,1197.0,0.59318733,71.07292,1
16.631107,59.465153,1097.0,0.59172815,71.07292,1
11.030064,85.23632,948.0,0.5431302,71.07292,1
2.9076047,94.57009,909.0,0.51117015,71.07292,1
0.7298708,29.120218,899.0,0.5380557,71.07292,1
1.7487828,329.4937,903.0,0.59248775,71.07292,1
1.4917638,13.771936,914.0,0.5046084,71.07292,1
1.9237443,63.13916,897.0,0.4892204,71.07292,1
15.572494,216.64882,1097.0,0.6659188,71.07292,1
15.247912,199.48477,1207.0,0.65298945,71.07292,1
12.044559,185.27908,1185.0,0.71830326,71.07292,1
7.578632,198.09741,1226.0,0.7267611,71.07292,1
3.9766219,154.46703,1225.0,0.6695213,71.07292,1
8.828655,167.7092,1197.0,0.67459035,71.07292,1
6.7542815,239.73395,1193.0,0.6582378,71.07292,1
4.028815,27.050024,1296.0,0.6030912,71.07292,1
10.44561,97.25132,1162.0,0.64094925,71.07292,1
13.779278,116.72305,1119.0,0.6380286,71.07292,1
12.194,92.1465,950.0,0.57944304,71.07292,1
2.5651507,75.61621,910.0,0.63835645,71.07292,1
2.2214758,352.3467,908.0,0.5929749,71.07292,1
1.9137737,345.6776,915.0,0.5406049,71.07292,1
1.2501677,37.988304,916.0,0.4737207,71.07292,1
5.7093744,326.07837,1002.0,0.6018163,72.92775,1
5.998108,352.65543,1039.0,0.687785,72.92775,1
5.9109755,41.197094,1015.0,0.6856887,72.92775,1
